request_id,success,latency,prompt_tokens,generated_tokens,tokens_per_sec
0,True,1.1264922618865967,433,100,88.77113796816026
1,True,0.819159746170044,11,100,122.07631108284667
2,True,0.8090851306915283,195,100,123.59638832384621
3,True,0.7998285293579102,7,100,125.02679803167116
4,True,0.8196680545806885,463,100,122.00060675922799
5,True,1.1247053146362305,418,100,88.91217877132868
6,True,0.8628706932067871,55,100,115.89221975816368
7,True,0.8236043453216553,771,100,121.41752355731612
8,False,0.8911187648773193,0,0,0
9,True,0.8210465908050537,48,100,121.79576788930804
10,True,1.1459200382232666,18,100,87.26612386938328
11,True,0.7889509201049805,186,100,126.75059683901968
12,True,0.8041841983795166,39,100,124.34962064848638
13,False,0.582467794418335,0,0,0
14,False,0.6900880336761475,0,0,0
15,True,1.1461071968078613,79,100,87.25187336622619
16,True,0.8106005191802979,15,100,123.36532932537821
17,True,0.851313591003418,35,100,117.4655274587276
18,True,0.8324921131134033,37,100,120.12125811740616
19,True,0.8220705986022949,19,100,121.64405364943414
20,True,1.145381212234497,34,100,87.3071768000388
21,True,0.8387777805328369,13,100,119.2210884943502
22,True,0.8170413970947266,14,100,122.39281920791848
23,False,0.6496644020080566,0,0,0
24,True,0.7540955543518066,41,100,132.6091891444134
25,True,1.1246435642242432,40,100,88.91706064132241
26,True,0.8192024230957031,45,100,122.0699514316714
27,True,0.7939279079437256,46,100,125.95602069084603
28,True,0.7871341705322266,18,100,127.0431442868047
29,True,0.75504469871521,63,100,132.44249005411308
30,True,1.1262187957763672,91,100,88.79269319161403
31,True,0.7845208644866943,4,100,127.4663358576565
32,True,0.8049991130828857,8,100,124.2237393492676
33,True,0.7604026794433594,4,100,131.50926831715455
34,True,0.7845816612243652,11,100,127.45645857175242
35,True,0.4528188705444336,158,36,79.50198708970862
36,True,0.9624443054199219,9,100,103.90211613997677
37,True,0.8668184280395508,8,100,115.36441400555601
38,True,0.811042070388794,4,100,123.29816621234262
39,True,0.8249399662017822,6,100,121.22094224677166
40,True,1.145672082901001,508,100,87.2850106871646
41,True,0.8682863712310791,29,100,115.16937650215262
42,True,0.0306088924407959,48,1,32.670244502776846
43,True,0.809445858001709,104,100,123.54130793487718
44,True,0.7544457912445068,56,100,132.54762788860359
45,True,1.1450586318969727,333,100,87.33177255240984
46,True,0.8007297515869141,292,100,124.88608023095998
47,True,0.8029530048370361,120,100,124.5402899018923
48,True,0.8089849948883057,26,100,123.61168702987715
49,False,0.6211814880371094,0,0,0
50,True,1.1458191871643066,17,100,87.27380473308511
51,True,0.8108019828796387,20,100,123.3346761743733
52,True,0.797966718673706,16,100,125.31850973209657
53,True,0.78328537940979,21,100,127.66738998160615
54,True,0.8367860317230225,307,100,119.50486290275477
55,True,1.1458158493041992,16,100,87.27405896918371
56,False,0.6307823657989502,0,0,0
57,True,0.8159520626068115,9,100,122.55621939421175
58,False,0.3429248332977295,0,0,0
59,False,0.14107823371887207,0,0,0
60,True,0.23546195030212402,18,19,80.69244298546272
61,True,0.3598008155822754,326,43,119.51056845274778
62,True,0.021355390548706055,337,1,46.8265844972145
63,True,0.5388102531433105,14,65,120.63616017104924
64,True,0.8235287666320801,286,100,121.42866655279332
65,True,1.1456003189086914,35,100,87.29047849363454
66,True,0.8584229946136475,234,100,116.49268557281279
67,True,0.8314135074615479,192,100,120.27709329057889
68,True,0.8221123218536377,257,100,121.63788005819866
69,True,0.8034465312957764,175,100,124.4637895675805
70,True,1.144749641418457,6,100,87.35534511816068
71,True,0.8403410911560059,6,100,118.99929808553823
72,True,0.7846355438232422,10,100,127.44770586447888
73,True,0.7917492389678955,12,100,126.30261587666001
74,True,0.7944154739379883,6,100,125.87871621418839
75,True,1.1258409023284912,17,100,88.82249684940172
76,False,0.028610706329345703,0,0,0
77,True,0.7970826625823975,51,100,125.45750233234138
78,True,0.7849464416503906,12,100,127.39722698754429
79,True,0.8360817432403564,82,100,119.60552997178894
80,True,1.1255719661712646,13,100,88.8437194648327
81,True,0.807518720626831,30,100,123.83613834039124
82,True,0.8010220527648926,46,100,124.84050801701328
83,True,0.754753589630127,10,100,132.4935732322993
84,True,0.7655260562896729,59,100,130.6291264397672
85,True,1.125821828842163,15,100,88.82400166538227
86,True,0.798346996307373,12,100,125.25881660798385
87,True,0.8303914070129395,11,100,120.42513826066335
88,True,0.7556138038635254,12,100,132.34273843157771
89,True,0.7853307723999023,31,100,127.33488042803764
90,True,1.145371675491333,7,100,87.30790374845157
91,True,0.7929155826568604,6,100,126.11683032502047
92,True,0.8180444240570068,6,100,122.24274997690263
93,True,0.8282153606414795,8,100,120.74154229951347
94,True,0.7758388519287109,8,100,128.89274589871744
95,True,1.1454212665557861,23,100,87.3041237488929
96,True,0.7976861000061035,17,100,125.36259563659796
97,True,0.8382127285003662,25,100,119.30145725525846
98,True,0.8039608001708984,34,100,124.38417392830961
99,True,0.7538130283355713,26,100,132.65889052196573
