request_id,timestamp,queue_waiting_before,tpot_ms,latency,batch_size,action
0,0,0.0,31.616649627685547,3.1616649627685547,19.0,NONE
10,10,2.0,30.626542568206787,3.0626542568206787,19.0,NONE
20,20,0.0,32.432663440704346,3.2432663440704346,17.0,NONE
30,30,2.0,30.32955408096313,3.032955408096313,17.0,NONE
40,40,0.0,31.852526664733887,3.1852526664733887,17.0,NONE
50,50,0.0,30.72074174880981,3.072074174880981,90.0,NONE
60,60,0.0,29.78389978408813,2.978389978408813,96.0,NONE
70,70,0.0,30.064592361450195,3.0064592361450195,94.0,NONE
80,80,0.0,36.03196685964411,1.5854065418243408,99.0,NONE
90,90,0.0,30.70594072341919,3.070594072341919,90.0,NONE
100,100,0.0,31.21410846710205,3.121410846710205,52.0,NONE
110,110,0.0,30.74289560317993,3.074289560317993,81.0,NONE
120,120,0.0,31.20727300643921,3.120727300643921,52.0,NONE
130,130,0.0,31.254703998565677,3.1254703998565674,65.0,NONE
140,140,0.0,256.0725212097168,0.2560725212097168,31.0,SCALE_UP
150,150,2.0,30.877296924591064,3.0877296924591064,17.0,NONE
160,160,0.0,32.61443614959717,3.261443614959717,17.0,NONE
170,170,0.0,32.602620124816895,3.260262012481689,17.0,NONE
180,180,0.0,32.41839408874512,3.241839408874512,17.0,NONE
190,190,2.0,31.11680269241333,3.111680269241333,19.0,NONE
200,200,2.0,30.32219409942627,3.032219409942627,19.0,NONE
210,210,2.0,30.92798948287964,3.092798948287964,17.0,NONE
220,220,23.0,30.246970653533936,3.0246970653533936,19.0,SCALE_UP
230,230,23.0,30.27892589569092,3.027892589569092,19.0,SCALE_UP
240,240,2.0,30.65479040145874,3.065479040145874,19.0,NONE
250,250,2.0,30.94634056091309,3.0946340560913086,17.0,NONE
260,260,0.0,31.084768772125244,3.1084768772125244,13.0,NONE
270,270,0.0,31.8904709815979,3.18904709815979,17.0,NONE
280,280,0.0,31.103386878967285,3.1103386878967285,52.0,NONE
290,290,0.0,29.793541431427,2.9793541431427,94.0,NONE
300,300,0.0,30.74582815170288,3.074582815170288,90.0,NONE
310,310,0.0,31.225473880767822,3.1225473880767822,13.0,NONE
320,320,0.0,31.213746070861816,3.1213746070861816,52.0,NONE
330,330,0.0,30.67968368530273,3.067968368530273,90.0,NONE
340,340,0.0,30.69664239883423,3.069664239883423,90.0,NONE
350,350,0.0,31.225547790527344,3.1225547790527344,65.0,NONE
360,360,0.0,31.358072757720947,3.1358072757720947,19.0,NONE
370,370,0.0,32.21477270126343,3.2214772701263428,17.0,NONE
380,380,23.0,30.260510444641117,3.0260510444641118,17.0,SCALE_UP
390,390,0.0,31.184144020080566,3.1184144020080566,52.0,NONE
400,400,0.0,31.38291835784912,3.138291835784912,19.0,NONE
410,410,0.0,30.72779417037964,3.072779417037964,90.0,NONE
420,420,0.0,31.872074604034424,3.1872074604034424,19.0,NONE
430,430,0.0,31.15562438964844,3.115562438964844,65.0,NONE
440,440,0.0,31.139800548553467,3.1139800548553467,52.0,NONE
450,450,0.0,31.39392614364624,3.139392614364624,19.0,NONE
460,460,2.0,31.31031036376953,3.131031036376953,19.0,NONE
470,470,23.0,30.253474712371823,3.0253474712371826,16.0,SCALE_UP
480,480,0.0,32.07296848297119,3.207296848297119,17.0,NONE
490,490,0.0,31.230347156524655,3.123034715652466,65.0,NONE
500,500,0.0,32.190120220184326,3.2190120220184326,17.0,NONE
510,510,2.0,31.11359596252441,3.1113595962524414,19.0,NONE
520,520,0.0,29.49333667755127,2.949333667755127,97.0,NONE
530,530,0.0,29.725356101989743,2.9725356101989746,95.0,NONE
540,540,0.0,31.260170936584476,3.1260170936584477,52.0,NONE
550,550,0.0,31.194396018981934,3.1194396018981934,65.0,NONE
560,560,0.0,31.198103427886963,3.1198103427886963,65.0,NONE
570,570,0.0,31.24454498291016,3.124454498291016,65.0,NONE
580,580,0.0,272.5067138671875,0.2725067138671875,46.0,SCALE_UP
590,590,0.0,31.23149871826172,3.123149871826172,65.0,NONE
600,600,0.0,31.211276054382324,3.1211276054382324,65.0,NONE
610,610,0.0,32.02850341796875,3.202850341796875,17.0,NONE
620,620,0.0,31.21821165084839,3.121821165084839,52.0,NONE
630,630,2.0,31.13309621810913,3.113309621810913,17.0,NONE
640,640,0.0,31.58067941665649,3.1580679416656494,17.0,NONE
650,650,2.0,30.912299156188965,3.0912299156188965,17.0,NONE
660,660,2.0,31.12152338027954,3.112152338027954,17.0,NONE
670,670,2.0,30.66431760787964,3.066431760787964,17.0,NONE
680,680,0.0,32.56291627883911,3.256291627883911,17.0,NONE
690,690,0.0,31.83264970779419,3.183264970779419,17.0,NONE
700,700,23.0,30.301246643066406,3.0301246643066406,17.0,SCALE_UP
710,710,0.0,31.6524600982666,3.16524600982666,17.0,NONE
720,720,0.0,32.56912469863892,3.256912469863892,17.0,NONE
730,730,0.0,32.032084465026855,3.203208446502685,17.0,NONE
740,740,0.0,31.67876482009888,3.167876482009888,19.0,NONE
750,750,0.0,29.36030864715576,2.936030864715576,99.0,NONE
760,760,0.0,30.732734203338623,3.0732734203338623,90.0,NONE
770,770,0.0,29.91972684860229,2.991972684860229,99.0,NONE
780,780,0.0,31.574273109436035,3.1574273109436035,19.0,NONE
790,790,0.0,260.58459281921387,0.2605845928192138,31.0,SCALE_UP
800,800,0.0,31.21001243591309,3.1210012435913086,52.0,NONE
810,810,0.0,31.19394302368164,3.119394302368164,65.0,NONE
820,820,2.0,30.62394142150879,3.062394142150879,17.0,NONE
830,830,0.0,31.093690395355225,3.1093690395355225,52.0,NONE
