request_id,success,latency,prompt_tokens,generated_tokens,tokens_per_sec,ttft_ms,tbt_ms,tpot_ms,queue_waiting_before,queue_running_before,queue_waiting_after,queue_running_after,batch_size
0,True,0.9915738105773926,0,100,100.84977934398054,202.75068283081055,7.967910381278607,9.915738105773926,0.0,0.0,0.0,0.0,0.0
1,True,0.7233765125274658,0,100,138.24059569006687,97.03445434570312,6.326687456381442,7.233765125274658,0.0,0.0,0.0,15.0,15.0
2,True,0.7684807777404785,0,100,130.12687226090998,85.30545234680176,6.900760862562391,7.684807777404785,0.0,0.0,0.0,0.0,0.0
3,True,0.8050997257232666,0,98,121.72405090805498,35.21442413330078,7.936961872061503,8.215303323706802,0.0,0.0,0.0,0.0,0.0
4,True,0.8288509845733643,0,98,118.23596982326526,58.331966400146484,7.943495032713585,8.457663107891472,0.0,0.0,0.0,0.0,0.0
5,True,0.8145871162414551,0,99,121.53396245301651,51.07688903808594,7.790920685748665,8.228152689307628,0.0,0.0,0.0,0.0,0.0
6,True,0.742952823638916,0,98,131.906087280219,38.579702377319336,7.261578569707182,7.581151261621592,0.0,0.0,0.0,1.0,1.0
7,True,0.8768692016601562,0,96,109.48041032601603,119.10676956176758,7.976446653667249,9.134054183959961,0.0,1.0,0.0,5.0,5.0
8,True,0.7793247699737549,0,99,127.03304683018608,59.43155288696289,7.345849153946857,7.8719673734722715,0.0,5.0,0.0,5.0,5.0
9,True,0.7346482276916504,0,100,136.11956883665474,59.93962287902832,6.815238432450728,7.346482276916504,0.0,0.0,0.0,0.0,0.0
10,True,0.7026278972625732,0,100,142.3228431287718,63.05360794067383,6.460346356786863,7.026278972625732,0.0,0.0,0.0,8.0,8.0
11,True,0.7929160594940186,0,100,126.11675448194697,77.44026184082031,7.227028259123214,7.9291605949401855,0.0,1.0,0.0,0.0,0.0
12,True,0.7972702980041504,0,97,121.6651369589778,31.39042854309082,7.977915306886037,8.2192814227232,0.0,0.0,0.0,0.0,0.0
13,True,0.7153933048248291,0,100,139.783248355233,76.05743408203125,6.4579380883110895,7.153933048248291,0.0,0.0,0.0,0.0,0.0
14,True,0.6779677867889404,0,100,147.49963338764238,31.65125846862793,6.528449781013258,6.779677867889404,0.0,0.0,0.0,0.0,0.0
15,True,0.7075905799865723,0,100,141.32466263456712,55.314064025878906,6.58865167637064,7.075905799865723,0.0,0.0,0.0,0.0,0.0
16,True,0.7117760181427002,0,100,140.4936348669611,70.27816772460938,6.479776266849402,7.117760181427002,0.0,0.0,0.0,0.0,0.0
17,True,0.7802870273590088,0,99,126.87638846832995,29.064655303955078,7.665534408725038,7.881687145040493,0.0,0.0,0.0,0.0,0.0
18,True,0.6684434413909912,0,100,149.60128831828453,33.16187858581543,6.4169854828805635,6.684434413909912,0.0,0.0,0.0,0.0,0.0
19,True,0.7526810169219971,0,96,127.5440695881783,30.083417892456055,7.606290516100432,7.8404272596041364,0.0,0.0,0.0,2.0,2.0
20,True,0.800724983215332,0,99,123.63795569667742,86.5013599395752,7.28799615587507,8.088131143589212,0.0,2.0,0.0,1.0,1.0
21,True,0.8182518482208252,0,100,122.21176184011816,37.622690200805664,7.885143010303228,8.182518482208252,0.0,2.0,0.0,0.0,0.0
22,True,0.7289316654205322,0,100,137.1870708104146,42.54317283630371,6.933217096810389,7.289316654205322,0.0,0.0,0.0,0.0,0.0
23,True,0.7011253833770752,0,95,135.49644935463368,34.66343879699707,7.090020687022108,7.380267193442897,0.0,0.0,0.0,0.0,0.0
24,True,0.6933348178863525,0,98,141.34585119892768,40.00997543334961,6.73530765415467,7.074845080472985,0.0,0.0,0.0,0.0,0.0
25,True,0.7083935737609863,0,99,139.75282056045702,40.46368598937988,6.81561109971027,7.155490644050367,0.0,0.0,0.0,0.0,0.0
26,True,0.7338969707489014,0,92,125.35819558720766,46.72741889953613,7.551313756586431,7.977140986401102,0.0,0.0,0.0,0.0,0.0
27,True,0.7340099811553955,0,99,134.87555011740494,95.35574913024902,6.5168799186239434,7.4142422338928835,0.0,0.0,0.0,0.0,0.0
