timestamp,waiting,running
1764726305.3310595,0.0,0.0
1764726306.485988,0.0,0.0
1764726307.6675,0.0,0.0
1764726308.8553512,0.0,0.0
1764726309.9428415,0.0,0.0
1764726311.0763495,0.0,0.0
1764726312.219005,0.0,0.0
1764726313.3912382,0.0,1.0
1764726314.553962,0.0,5.0
1764726315.6752193,0.0,0.0
1764726316.862779,0.0,0.0
1764726317.9989545,0.0,0.0
1764726319.1191797,0.0,0.0
1764726320.1939695,0.0,0.0
1764726321.299164,0.0,0.0
1764726322.4080708,0.0,0.0
1764726323.5184524,0.0,0.0
1764726324.61186,0.0,0.0
1764726325.6764195,0.0,2.0
1764726326.780367,0.0,0.0
1764726327.8337395,0.0,4.0
1764726328.9330091,0.0,2.0
1764726330.0151148,0.0,0.0
1764726331.118705,0.0,0.0
1764726332.2244256,0.0,0.0
1764726333.2972353,0.0,0.0
1764726334.385524,0.0,0.0
1764726335.4701087,0.0,0.0
1764726336.559379,0.0,0.0
1764726337.6420608,0.0,0.0
1764726338.770447,0.0,0.0
